POD,CDU,Week,Date,Parameter,Measured Data,Comment,,,Parameter,Lower Limit,Upper Limit
POD #3,CDU-02,WK 4 2026,22/01/2026,PH,8.73,,,,,,
POD #3,CDU-02,WK 4 2026,22/01/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-02,WK 4 2026,22/01/2026,Conductivity,601,,,,,,
POD #3,CDU-02,WK 4 2026,22/01/2026,Turbidity,3,,,,,,
POD #3,CDU-02,WK 4 2026,22/01/2026,TDS,404,,,,,,
POD #3,CDU-02,WK 4 2026,22/01/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 4 2026,22/01/2026,PH,8.72,,,,,,
POD #3,CDU-01,WK 4 2026,22/01/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-01,WK 4 2026,22/01/2026,Conductivity,620,,,,,,
POD #3,CDU-01,WK 4 2026,22/01/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 4 2026,22/01/2026,TDS,416,,,,,,
POD #3,CDU-01,WK 4 2026,22/01/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 5 2026,29/01/2026,PH,8.67,,,,,,
POD #3,CDU-02,WK 5 2026,29/01/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-02,WK 5 2026,29/01/2026,Conductivity,607,,,,,,
POD #3,CDU-02,WK 5 2026,29/01/2026,Turbidity,2,,,,,,
POD #3,CDU-02,WK 5 2026,29/01/2026,TDS,409,,,,,,
POD #3,CDU-02,WK 5 2026,29/01/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 5 2026,29/01/2026,PH,8.7,,,,,,
POD #3,CDU-01,WK 5 2026,29/01/2026,ATP Bacteria,4,,,,,,
POD #3,CDU-01,WK 5 2026,29/01/2026,Conductivity,609,,,,,,
POD #3,CDU-01,WK 5 2026,29/01/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 5 2026,29/01/2026,TDS,412,,,,,,
POD #3,CDU-01,WK 5 2026,29/01/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 14 2026,02/04/2026,PH,8.69,,,,,,
POD #3,CDU-02,WK 14 2026,02/04/2026,ATP Bacteria,681,Biocide added 178ml,,,,,
POD #3,CDU-02,WK 14 2026,02/04/2026,Conductivity,606,,,,,,
POD #3,CDU-02,WK 14 2026,02/04/2026,Turbidity,1,,,,,,
POD #3,CDU-02,WK 14 2026,02/04/2026,TDS,408,,,,,,
POD #3,CDU-02,WK 14 2026,02/04/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 14 2026,02/04/2026,PH,8.68,,,,,,
POD #3,CDU-01,WK 14 2026,02/04/2026,ATP Bacteria,1054,Biocide added 178ml,,,,,
POD #3,CDU-01,WK 14 2026,02/04/2026,Conductivity,596,,,,,,
POD #3,CDU-01,WK 14 2026,02/04/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 14 2026,02/04/2026,TDS,406,,,,,,
POD #3,CDU-01,WK 14 2026,02/04/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 40 2026,02/10/2026,PH,8.56,,,,,,
POD #3,CDU-02,WK 40 2026,02/10/2026,ATP Bacteria,120,,,,,,
POD #3,CDU-02,WK 40 2026,02/10/2026,Conductivity,639.7,,,,,,
POD #3,CDU-02,WK 40 2026,02/10/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 40 2026,02/10/2026,TDS,432.5,,,,,,
POD #3,CDU-02,WK 40 2026,02/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 40 2026,02/10/2026,PH,8.68,,,,,,
POD #3,CDU-01,WK 40 2026,02/10/2026,ATP Bacteria,296,,,,,,
POD #3,CDU-01,WK 40 2026,02/10/2026,Conductivity,619.8,,,,,,
POD #3,CDU-01,WK 40 2026,02/10/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 40 2026,02/10/2026,TDS,420.7,,,,,,
POD #3,CDU-01,WK 40 2026,02/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 40 2026,02/10/2026,PH,8.65,,,,,,
POD #3,CDU-03,WK 40 2026,02/10/2026,ATP Bacteria,491,"Facilities added only 1ml per gallon of biocide in the release of the CDU, the rest of the biocide added (105ml) on Feb-12",,,,,
POD #3,CDU-03,WK 40 2026,02/10/2026,Conductivity,627.8,,,,,,
POD #3,CDU-03,WK 40 2026,02/10/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 40 2026,02/10/2026,TDS,418.8,,,,,,
POD #3,CDU-03,WK 40 2026,02/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 8 2026,17/2/2026,PH,8.67,,,,,,
